Date;Close
21.05.2021;37304,7
22.05.2021;37536,6
23.05.2021;34770,6
24.05.2021;38706
25.05.2021;38402,2
26.05.2021;39294,2
27.05.2021;38437
28.05.2021;35697,6
29.05.2021;34616,1
30.05.2021;35678,1
31.05.2021;37332,9
1.06.2021;36684,9
2.06.2021;37575,2
3.06.2021;39208,8
4.06.2021;36894,4
5.06.2021;35552
6.06.2021;35862,4
7.06.2021;33560,7
8.06.2021;33472,6
9.06.2021;37345,1
10.06.2021;36702,6
11.06.2021;37334,4
12.06.2021;35552,5
13.06.2021;39097,9
14.06.2021;40218,5
15.06.2021;40406,3
16.06.2021;38347,1
17.06.2021;38053,5
18.06.2021;35787,3
19.06.2021;35615,9
20.06.2021;35698,3
21.06.2021;31676,7
22.06.2021;32505,7
23.06.2021;33723
24.06.2021;34662,4
25.06.2021;31637,8
26.06.2021;32186,3
27.06.2021;34649,6
28.06.2021;34434,3
29.06.2021;35867,8
30.06.2021;35040,8
1.07.2021;33572,1
2.07.2021;33897,1
3.07.2021;34668,6
4.07.2021;35287,8
5.07.2021;33746
6.07.2021;34235,2
7.07.2021;33855,3
8.07.2021;32877,4
9.07.2021;33798
10.07.2021;33520,5
11.07.2021;34240,2
12.07.2021;33155,9
13.07.2021;32702
14.07.2021;32822,4
15.07.2021;31780,7
16.07.2021;31421,5
17.07.2021;31533,1
18.07.2021;31796,8
19.07.2021;30817,8
20.07.2021;29807,4
21.07.2021;32110,7
22.07.2021;32313,1
23.07.2021;33581,6
24.07.2021;34292,5
25.07.2021;35350,2
26.07.2021;37337,5
27.07.2021;39406,9
28.07.2021;39995,9
29.07.2021;40008,4
30.07.2021;42235,6
31.07.2021;41626,2
1.08.2021;39974,9
2.08.2021;39202
3.08.2021;38153
4.08.2021;39747,5
5.08.2021;40869,6
6.08.2021;42816,5
7.08.2021;44555,8
8.08.2021;43798,1
9.08.2021;46365,4
10.08.2021;45585
11.08.2021;45593,6
12.08.2021;44428,3
13.08.2021;47793,3
14.08.2021;47097
15.08.2021;47047
16.08.2021;46004,5
17.08.2021;44695,4
18.08.2021;44801,2
19.08.2021;46717,6
20.08.2021;49339,2
21.08.2021;48905,5
22.08.2021;49321,7
23.08.2021;49546,2
24.08.2021;47706,1
25.08.2021;48960,8
26.08.2021;46942,2
27.08.2021;49058,7
28.08.2021;48902,4
29.08.2021;48829,8
30.08.2021;47055
31.08.2021;47166,7
1.09.2021;48847
2.09.2021;49327,7
3.09.2021;50025,4
4.09.2021;49944,6
5.09.2021;51753,4
6.09.2021;52633,5
7.09.2021;46811,1
8.09.2021;46091,4
9.09.2021;46391,4
10.09.2021;44883,9
11.09.2021;45201,5
12.09.2021;46063,3
13.09.2021;44963,1
14.09.2021;47092,5
15.09.2021;48176,4
16.09.2021;47783,4
17.09.2021;47267,5
18.09.2021;48278,4
19.09.2021;47260,2
20.09.2021;42843,8
21.09.2021;40693,7
22.09.2021;43574,5
23.09.2021;44895,1
24.09.2021;42839,8
25.09.2021;42716,6
26.09.2021;43208,5
27.09.2021;42235,7
28.09.2021;41034,5
29.09.2021;41564,4
30.09.2021;43790,9
1.10.2021;48116,9
2.10.2021;47711,5
3.10.2021;48200
4.10.2021;49112,9
5.10.2021;51514,8
6.10.2021;55361,5
7.10.2021;53806
